ID1,Sender,Recipient,Letter No,Description,Place,Coordinates
1,Lady Susan,Mr. Vernon,1,Letter 1 --  Lady Susan to Mr. Vernon,Langford,"51.34,-2.782"
2,Lady Susan,Mrs. Johnson,2,Letter 2 -- Lady Susan to Mrs. Johnson,Langford,"51.34,-2.782"
3,Mrs. Vernon,Lady De Courcy,3,Letter 3 -- Mrs. Vernon to Lady De Courcy ,Churchhill,"51.3354,-2.7963"
4,Mr. De Courcy,Mrs. Vernon,4,Letter 4 -- Mr. De Courcy to Mrs. Vernon,Parklands,"51.3241974854,-2.51400561211"
5,Lady Susan,Mrs. Johnson,5,Letter 5 -- Lady Susan to Mrs. Johnson,Churchhill,"51.3354,-2.7963"
6,Mrs. Vernon,Mr. De Courcy,6,Letter 6 -- Mrs. Vernon to Mr. De Courcy,Churchhill,"51.3354,-2.7963"
7,Lady Susan,Mrs. Johnson,7,Letter 7 -- Lady Susan to Mrs. Johnson,Churchhill,"51.3354,-2.7963"
8,Mrs. Vernon,Lady De Courcy,8,Letter 8 -- Mrs. Vernon to Lady De Courcy,Churchhill,"51.3354,-2.7963"
9,Mrs. Johnson,Lady Susan,9,Letter 9 -- Mrs. Johnson to Lady Susan,Edward Street,"51.4798,-0.0311"
10,Lady Susan,Mrs. Johnson,10,Letter 10 -- Lady Susan to Mrs. Johnson,Churchhill,"51.3354,-2.7963"
11,Mrs. Vernon,Lady De Courcy,11,Letter 11 -- Mrs. Vernon to Lady De Courcy,Churchhill,"51.3354,-2.7963"
12,Sir Reginald De Courcy,Mr. De Courcy,12,Letter 12 -- Sir Reginald De Courcy to His Son,Parklands,"51.3241974854,-2.51400561211"
13,Lady De Courcy,Mrs. Vernon,13,Letter 13 -- Lady De Courcy to Mrs. Vernon,Parklands,"51.3241974854,-2.51400561211"
14,Mr. De Courcy,Sir Reginald De Courcy,14,Letter 14 -- Mr. De Courcy to Sir Reginald ,Churchhill,"51.3354,-2.7963"
15,Mrs. Vernon,Lady De Courcy,15,Letter 15 -- Mrs. Vernon to Lady De Courcy,Churchhill,"51.3354,-2.7963"
16,Lady Susan,Mrs. Johnson,16,Letter 16 -- Lady Susan to Mrs. Johnson ,Churchhill,"51.3354,-2.7963"
17,Mrs. Vernon,Lady De Courcy,17,Letter 17 -- Mrs. Vernon to Lady De Courcy,Churchhill,"51.3354,-2.7963"
18,Mrs. Vernon,Lady De Courcy,18,Letter 18 -- From the Same to the Same ,Churchhill,"51.3354,-2.7963"
19,Lady Susan,Mrs. Johnson,19,Letter 19 -- Lady Susan to Mrs. Johnson,Churchhill,"51.3354,-2.7963"
20,Mrs. Vernon,Lady De Courcy,20,Letter 20 -- Mrs. Vernon to Lady De Courcy ,Churchhill,"51.3354,-2.7963"
21,Miss Vernon,Mr. De Courcy,21,Letter 21 -- Miss Vernon to Mr. De Courcy ,,
22,Lady Susan,Mrs. Johnson,22,Letter 22 -- Lady Susan to Mrs. Johnson ,Churchhill,"51.3354,-2.7963"
23,Mrs. Vernon,Lady De Courcy,23,Letter 23 -- Mrs. Vernon to Lady De Courcy,Churchhill,"51.3354,-2.7963"
24,Mrs. Vernon,Lady De Courcy,24,Letter 24 -- From the Same to the Same ,Churchhill,"51.3354,-2.7963"
25,Lady Susan,Mrs. Johnson,25,Letter 25 -- Lady Susan to Mrs. Johnson,Churchhill,"51.3354,-2.7963"
26,Mrs. Johnson,Lady Susan,26,Letter 26 -- Mrs. Johnson to Lady Susan,Edward Street,"51.4798,-0.0311"
27,Mrs. Vernon,Lady De Courcy,27,Letter 27 -- Mrs. Vernon to Lady De Courcy,Churchhill,"51.3354,-2.7963"
28,Mrs. Johnson,Lady Susan,28,Letter 28 -- Mrs. Johnson to Lady Susan,Edward Street,"51.4798,-0.0311"
29,Lady Susan,Mrs. Johnson,29,Letter 29 -- Lady Susan to Mrs. Johnson,Upper Seymour Street,"51.515419,-0.141099"
30,Lady Susan,Mr. De Courcy,30,Letter 30 -- Lady Susan to Mr. De Courcy,Upper Seymour Street,"51.515419,-0.141099"
31,Lady Susan,Mrs. Johnson,31,Letter 31 -- Lady Susan to Mrs. Johnson,Upper Seymour Street,"51.515419,-0.141099"
32,Mrs. Johnson,Lady Susan,32,Letter 32 -- Mrs. Johnson to Lady Susan,Edward Street,"51.4798,-0.0311"
33,Lady Susan,Mrs. Johnson,33,Letter 33 -- Lady Susan to Mrs. Johnson ,Upper Seymour Street,"51.515419,-0.141099"
34,Mr. De Courcy,Lady Susan,34,Letter 34 -- Mr. De Courcy to Lady Susan,Hotel,
35,Lady Susan,Mr. De Courcy,35,Letter 35 -- Lady Susan to Mr. De Courcy,Upper Seymour Street,"51.515419,-0.141099"
36,Mr. De Courcy,Lady Susan,36,Letter 36 -- Mr. De Courcy to Lady Susan,Hotel,
37,Lady Susan,Mr. De Courcy,37,Letter 37 -- Lady Susan to Mr. De Courcy,Upper Seymour Street,"51.515419,-0.141099"
38,Mrs. Johnson,Lady Susan,38,Letter 38 -- Mrs. Johnson to Lady Susan Vernon ,Edward Street,"51.4798,-0.0311"
39,Lady Susan,Mrs. Johnson,39,Letter 39 -- Lady Susan to Mrs. Johnson,Upper Seymour Street.,"51.515419, -0.141099"
40,Lady De Courcy,Mrs. Vernon,40,Letter 40 -- Lady De Courcy to Mrs. Vernon ,,
41,Mrs. Vernon,Lady De Courcy,41,Letter 41 -- Mrs. Vernon to Lady De Courcy ,Churchhill,"51.3354,-2.7963"
42,Mrs. Vernon,Lady De Courcy,42,Conclusion -- Mrs. Vernon to Lady De Courcy,,
